attribute,group,sample_size,base_rate,selection_rate,accuracy,precision,recall,f1_score,tpr,fpr,tnr,fnr,roc_auc
race,African-American,467,0.5353319057815846,0.49464668094218417,0.6680942184154176,0.7056277056277056,0.652,0.6777546777546778,0.652,0.31336405529953915,0.6866359447004609,0.348,0.7394285714285714
race,Caucasian,319,0.3793103448275862,0.23510971786833856,0.7053291536050157,0.68,0.4214876033057851,0.5204081632653061,0.4214876033057851,0.12121212121212122,0.8787878787878788,0.5785123966942148,0.7179230319726189
race,Hispanic,89,0.3258426966292135,0.24719101123595505,0.7640449438202247,0.6818181818181818,0.5172413793103449,0.5882352941176471,0.5172413793103449,0.11666666666666667,0.8833333333333333,0.4827586206896552,0.7701149425287356
race,Other,49,0.40816326530612246,0.20408163265306123,0.7142857142857143,0.8,0.4,0.5333333333333333,0.4,0.06896551724137931,0.9310344827586207,0.6,0.7353448275862068
race,Asian,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,
race,Native American,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
sex,Female,160,0.3125,0.25625,0.71875,0.5609756097560976,0.46,0.5054945054945055,0.46,0.16363636363636364,0.8363636363636363,0.54,0.6949090909090909
sex,Male,766,0.48433420365535246,0.3877284595300261,0.6866840731070496,0.7205387205387206,0.5768194070080862,0.6407185628742516,0.5768194070080862,0.21012658227848102,0.789873417721519,0.42318059299191374,0.7561806953495513
