feature_policy,model,accuracy_mean,accuracy_std,f1_score_mean,f1_score_std,roc_auc_mean,roc_auc_std,race_dp_diff_mean,race_dp_diff_std,race_eo_diff_mean,race_eo_diff_std,race_fpr_diff_mean,race_fpr_diff_std,sex_dp_diff_mean,sex_dp_diff_std,sex_eo_diff_mean,sex_eo_diff_std,sex_fpr_diff_mean,sex_fpr_diff_std
with_sensitive,logistic_regression,0.6928725701943844,0.00724749966978941,0.6239670181532617,0.014584631825580134,0.7512828955104537,0.005614541545374135,0.40678037313419735,0.10776497010407708,0.6605559721001646,0.021323956294581975,0.32677001873282097,0.041713613467872064,0.22047852693603773,0.015431032446439306,0.22253672795281618,0.046733328829270615,0.14567701043702672,0.02113638824139756
with_sensitive,mlp,0.6855291576673865,0.012912082226898564,0.623142659896093,0.01640377817680264,0.7499019308106583,0.009753101116377881,0.6235734240273437,0.2502101542574814,0.8057527794381351,0.15876245135537911,0.49983125374202314,0.25393274547815575,0.19952950004385808,0.05092264871572734,0.19874989888543387,0.07245569340463379,0.13647664241949325,0.05035865127576592
with_sensitive,random_forest,0.6920086393088554,0.010412069799735591,0.6297554886205405,0.012020563164850366,0.7550377460548905,0.005002919907361762,0.6266788945482864,0.25006910029335655,0.8120219964136283,0.1542564140187136,0.4981445795709812,0.25533851669438623,0.17319105987557118,0.036568792653685754,0.16770164016521485,0.057699676084691134,0.10133964020207231,0.027031191035217225
without_sensitive,logistic_regression,0.69244060475162,0.004447356432391781,0.6239505308207359,0.009588815292147227,0.747531337456786,0.0063363531264966355,0.625464138220971,0.2490008947228497,0.8063115361625822,0.15950135067472068,0.4825727846497464,0.2640224917734196,0.10480730791712331,0.02181936700899992,0.09669397593473959,0.043129281410183434,0.05562950986831836,0.01646489146165478
without_sensitive,mlp,0.687257019438445,0.004131992758036487,0.6254494181651133,0.009110891564248358,0.747869052938548,0.006751581380750082,0.6316554617510163,0.24620941986959596,0.7920258218768679,0.16995974992378168,0.49745392893423057,0.2550381520658625,0.12167617451063506,0.02846489743651226,0.10687804953061283,0.050296830366279084,0.06508920600572887,0.0191987153600663
without_sensitive,random_forest,0.68963282937365,0.006131779510401044,0.6240457751284211,0.014415802769892981,0.7507956068766022,0.005058160345961595,0.6224096117371305,0.24254946696373036,0.8038747160789003,0.16180510041050014,0.4923233813469399,0.2581522934460333,0.1157645765311552,0.02882535526202033,0.08819091488800741,0.043195716945304025,0.057110595178475096,0.02241774299560902
