seed,feature_policy,model,accuracy,f1_score,roc_auc,race_dp_diff,race_eo_diff,race_fpr_diff,sex_dp_diff,sex_eo_diff,sex_fpr_diff
seed_0,without_sensitive,logistic_regression,0.6922246220302376,0.6245059288537549,0.7512828955104537,0.49464668094218417,0.652,0.31336405529953915,0.13147845953002613,0.11681940700808618,0.04649021864211739
seed_0,without_sensitive,random_forest,0.6911447084233261,0.6256544502617801,0.748895839702735,0.5032119914346895,0.644,0.34101382488479265,0.14556135770234985,0.1222102425876011,0.06570771001150749
seed_0,without_sensitive,mlp,0.6868250539956804,0.618421052631579,0.7513064133016627,0.5074946466809421,0.652,0.34101382488479265,0.17056135770234984,0.17951482479784364,0.07733026467203682
seed_0,with_sensitive,logistic_regression,0.6987041036717062,0.631439894319683,0.7555372639401707,0.48822269807280516,0.648,0.30414746543778803,0.22708877284595302,0.2583827493261455,0.11772151898734176
seed_0,with_sensitive,random_forest,0.6965442764578834,0.6336375488917861,0.7594388655017521,0.5160599571734475,0.668,0.34101382488479265,0.21747715404699738,0.24646900269541783,0.1096662830840046
seed_0,with_sensitive,mlp,0.693304535637149,0.6330749354005168,0.756666117918205,0.5096359743040685,0.664,0.3317972350230415,0.22661553524804176,0.27455525606469006,0.11070195627157653
seed_1,without_sensitive,logistic_regression,0.6900647948164147,0.6137281292059219,0.7535876390489404,1.0,1.0,1.0,0.08329138855454643,0.08338907469342251,0.08338907469342251
seed_1,without_sensitive,random_forest,0.6781857451403888,0.5972972972972973,0.7586651301709744,1.0,1.0,1.0,0.1062625378414852,0.09845339845339851,0.05986622073578596
seed_1,without_sensitive,mlp,0.6879049676025918,0.6151797603195739,0.7586110392511936,1.0,1.0,1.0,0.12110734215997371,0.09620958751393534,0.09620958751393534
seed_1,with_sensitive,logistic_regression,0.6825053995680346,0.6037735849056604,0.7566896357094142,0.47291666666666665,0.6334661354581673,0.29694323144104806,0.19677572309151253,0.20980870980870975,0.13612040133779266
seed_1,with_sensitive,random_forest,0.6857451403887689,0.6114819759679573,0.7578208414665695,1.0,1.0,1.0,0.1724477513951198,0.1726495726495726,0.11872909698996657
seed_1,with_sensitive,mlp,0.6695464362850972,0.6015625,0.7507302274170409,1.0,1.0,1.0,0.2386183754604807,0.2468864468864469,0.18483835005574134
seed_2,without_sensitive,logistic_regression,0.6879049676025918,0.6131191432396251,0.7447073210884033,0.8135593220338984,0.7142857142857143,0.314410480349345,0.13106655042138915,0.17022471910112358,0.03523157713498623
seed_2,without_sensitive,random_forest,0.6900647948164147,0.6238532110091743,0.7510853460642977,0.7796610169491526,0.7142857142857143,0.31877729257641924,0.15268817204301077,0.14092480553154713,0.08606663223140495
seed_2,without_sensitive,mlp,0.693304535637149,0.6292428198433421,0.7474118670774441,0.8135593220338984,0.6428571428571428,0.3318777292576419,0.12983144434757338,0.14935177182368192,0.042592114325068875
seed_2,with_sensitive,logistic_regression,0.6868250539956804,0.6091644204851752,0.7473530725994214,0.3148148148148148,0.6625514403292181,0.3056768558951965,0.23868061609997096,0.2891529818496111,0.1387095385674931
seed_2,with_sensitive,random_forest,0.7041036717062635,0.6432291666666666,0.7522142000423321,0.7966101694915254,0.7142857142857143,0.314410480349345,0.19981110142400463,0.2025929127052722,0.11912448347107438
seed_2,with_sensitive,mlp,0.693304535637149,0.6302083333333334,0.7518073422544156,0.7915309446254072,0.6785714285714286,0.33624454148471616,0.19981110142400463,0.20674157303370788,0.12127668732782368
